loan_amount,interest_rate,loan_term,credit_score,default_status,approval_delay,disbursement_delay,loan_duration,loan_type_Education Loan,loan_type_Home Loan,loan_type_Personal Loan,employment_type_Part-time,employment_type_Self-employed,income_level_Low,income_level_Medium,marital_status_Married,marital_status_Single,education_level_High School,education_level_Master,education_level_PhD
40504,0.082173317,25,570,0,22,10,74,0,1,0,1,0,0,1,0,1,0,0,1
34159,0.080358546,14,433,0,20,7,171,1,0,0,0,0,1,0,1,0,1,0,0
14986,0.074728786,24,470,0,4,2,179,0,0,1,0,1,1,0,0,1,0,0,1
62858,0.1034512,58,714,0,19,10,46,0,0,1,0,1,1,0,1,0,0,1,0
13666,0.06772357,25,327,0,23,3,67,1,0,0,0,0,1,0,1,0,0,0,0
39660,0.102985516,32,435,0,18,1,119,0,0,1,0,0,1,0,0,1,0,0,1
4561,0.087497962,37,704,0,11,0,60,0,0,0,0,1,0,0,1,0,0,1,0
27854,0.059010407,14,804,0,17,6,127,0,1,0,0,1,1,0,0,1,0,0,1
65505,0.085514739,51,540,0,3,7,87,0,1,0,1,0,0,1,0,1,0,0,0
53251,0.048499602,15,743,1,28,11,120,0,1,0,0,0,0,0,0,1,0,1,0
23662,0.08938262,47,733,0,7,14,46,0,0,0,0,1,1,0,1,0,1,0,0
9392,0.093278472,54,527,0,13,7,149,0,1,0,0,0,1,0,1,0,0,0,1
31535,0.071114661,12,808,0,29,12,52,0,0,1,0,1,1,0,0,1,0,0,1
79603,0.081853215,51,602,1,15,5,177,0,1,0,0,1,0,1,1,0,0,1,0
53256,0.109312362,58,333,0,19,6,125,0,0,0,0,0,1,0,0,0,0,0,0
90135,0.072413799,44,301,1,7,7,33,0,0,1,1,0,0,1,0,1,0,0,1
36222,0.064116386,18,661,1,4,3,102,1,0,0,0,1,0,1,0,1,0,1,0
78373,0.102224951,22,494,1,8,7,104,0,0,1,0,0,1,0,0,0,0,0,0
80575,0.109438808,38,607,0,1,5,78,0,0,0,0,1,1,0,0,0,0,0,1
97354,0.080055435,25,549,0,7,11,138,0,0,1,0,0,0,0,0,1,0,1,0
85651,0.095171946,33,446,0,6,6,55,0,1,0,0,0,0,0,0,0,0,0,0
64335,0.100122139,27,645,0,17,9,61,0,0,0,0,1,0,0,0,1,0,0,1
11965,0.068862737,57,647,1,20,13,57,1,0,0,1,0,0,1,1,0,0,0,1
25538,0.072720412,23,553,0,21,6,80,0,1,0,0,1,1,0,0,0,0,0,0
71592,0.098463118,57,698,1,8,7,66,0,0,0,0,1,0,0,0,1,0,0,0
99018,0.105275214,21,633,0,10,10,86,0,0,0,1,0,0,1,0,1,0,1,0
9110,0.088443213,35,475,0,11,13,109,1,0,0,1,0,0,0,0,1,0,0,1
80309,0.066802785,57,424,0,7,14,101,1,0,0,0,0,0,0,0,0,0,0,1
28266,0.109805917,29,697,1,22,4,32,0,0,0,0,0,1,0,1,0,0,1,0
53992,0.072035437,33,430,1,26,1,169,1,0,0,1,0,1,0,1,0,0,0,1
83948,0.074972933,20,706,0,16,7,140,1,0,0,1,0,0,1,0,0,0,0,1
99806,0.085135068,28,633,0,25,0,120,0,1,0,0,1,1,0,0,1,0,0,1
7910,0.103312406,49,319,0,18,14,80,0,0,0,1,0,0,0,0,1,1,0,0
91982,0.09280964,51,504,0,0,12,168,0,0,1,0,1,0,1,0,1,0,0,0
1206,0.086222983,24,654,0,25,12,163,0,1,0,0,1,0,1,0,0,1,0,0
88054,0.086949328,48,472,0,21,1,169,0,0,0,0,1,0,1,0,0,1,0,0
88897,0.08065272,17,488,0,2,4,54,0,0,0,1,0,0,1,0,1,0,0,0
24419,0.088372093,32,301,1,13,3,55,0,1,0,1,0,1,0,0,1,1,0,0
51636,0.042056599,47,467,0,17,11,109,1,0,0,0,1,0,0,0,1,0,1,0
51015,0.075550888,18,667,0,28,10,65,0,0,1,1,0,1,0,0,0,1,0,0
55268,0.083619829,47,835,0,25,1,50,0,0,1,0,0,1,0,0,0,0,1,0
88939,0.062734789,36,669,0,1,14,78,0,0,0,0,0,0,1,1,0,0,0,0
19141,0.08579485,22,736,0,7,3,113,0,0,0,0,1,1,0,0,1,0,0,1
81356,0.076932932,55,506,0,16,6,147,0,0,1,1,0,1,0,0,1,0,0,0
72910,0.106332135,25,348,0,8,4,89,0,0,0,0,0,0,0,1,0,0,0,0
57044,0.103595296,56,843,0,11,14,135,0,0,1,0,1,0,1,0,1,1,0,0
68214,0.073012916,40,428,0,6,12,152,1,0,0,0,0,1,0,1,0,0,0,0
34827,0.077737434,21,746,1,0,3,48,0,0,1,0,1,0,1,0,0,0,0,0
56820,0.078890787,59,334,0,20,1,168,0,0,1,0,1,0,0,1,0,0,1,0
63623,0.073225108,16,498,0,20,1,107,0,0,1,0,1,1,0,1,0,0,0,1
82734,0.082925375,19,376,0,13,0,129,0,0,0,0,0,0,0,0,0,1,0,0
76450,0.068625769,57,668,0,1,9,160,1,0,0,0,1,0,0,0,1,0,0,1
94426,0.06304077,16,825,0,16,13,157,0,1,0,0,1,0,1,1,0,0,0,1
23299,0.089340668,35,648,0,6,5,136,0,1,0,0,0,0,1,1,0,0,0,1
44585,0.089442944,51,805,1,14,5,169,0,0,1,0,1,0,1,0,1,1,0,0
65044,0.067935264,37,537,0,27,3,91,0,0,0,0,0,1,0,1,0,0,0,0
43557,0.093430331,17,579,0,8,8,74,0,1,0,0,1,0,1,0,0,0,0,1
50080,0.070526334,27,731,0,7,12,86,0,1,0,1,0,1,0,1,0,1,0,0
3693,0.083797479,47,437,0,6,3,159,0,0,1,1,0,0,0,0,1,0,0,0
96003,0.09230516,23,568,0,3,2,130,0,0,1,0,0,0,1,0,1,0,0,1
96259,0.079495812,22,500,0,9,10,48,0,0,0,0,1,0,0,1,0,0,1,0
70163,0.086821114,14,441,0,6,9,90,0,1,0,0,0,0,1,0,1,1,0,0
26939,0.072253555,55,654,0,14,8,34,0,0,1,0,1,0,0,0,1,0,0,1
49925,0.077053001,48,628,0,29,0,48,1,0,0,0,0,1,0,1,0,1,0,0
43941,0.076912109,17,530,0,29,12,60,1,0,0,1,0,0,0,1,0,0,1,0
22834,0.068801325,30,607,0,12,14,176,1,0,0,0,0,1,0,0,1,1,0,0
19047,0.077348388,29,445,1,7,1,135,0,0,1,1,0,0,1,1,0,0,0,0
27105,0.056770726,27,451,1,8,0,110,0,0,0,1,0,0,1,0,0,0,0,1
76766,0.072632694,34,439,0,8,6,169,1,0,0,1,0,0,1,1,0,1,0,0
16707,0.075726868,54,320,0,4,11,119,1,0,0,0,0,1,0,0,1,1,0,0
22976,0.076157304,48,553,0,20,12,146,1,0,0,0,0,0,1,0,0,0,0,1
45262,0.076377538,20,363,0,5,0,154,0,0,1,1,0,1,0,0,1,0,1,0
24776,0.079073537,14,517,0,29,10,101,0,0,1,0,0,1,0,0,1,0,1,0
31080,0.087191623,19,371,0,15,10,133,0,0,1,0,1,0,0,0,0,0,0,1
67842,0.093117756,49,461,0,15,0,54,1,0,0,1,0,0,1,1,0,0,0,1
62373,0.070253522,15,429,0,23,5,170,0,0,1,0,1,0,0,0,1,0,0,0
7776,0.061951987,23,524,0,13,5,71,0,0,1,1,0,1,0,1,0,1,0,0
93787,0.064369334,55,753,0,18,10,172,0,0,0,0,1,0,0,1,0,1,0,0
56016,0.072691956,42,683,1,18,11,52,0,0,1,1,0,0,1,0,0,0,1,0
10474,0.07472118,36,406,0,15,4,57,0,1,0,1,0,1,0,0,1,0,0,0
59053,0.068450059,27,402,1,26,3,141,0,0,1,1,0,0,0,0,0,1,0,0
22959,0.06055825,53,440,0,4,7,42,0,0,1,0,0,0,1,0,0,0,0,0
6530,0.073158188,25,433,0,26,2,125,0,1,0,0,1,0,1,0,1,0,0,1
95856,0.082721399,24,498,0,0,0,104,0,1,0,1,0,0,0,0,1,1,0,0
4748,0.088925442,52,809,0,4,0,64,0,0,1,0,0,1,0,0,0,0,0,1
98504,0.071638654,18,378,1,8,4,76,0,0,0,1,0,0,1,0,0,0,1,0
99098,0.073805033,23,781,0,20,2,79,1,0,0,0,1,1,0,0,0,0,1,0
14545,0.066099525,48,811,0,6,2,116,0,1,0,1,0,0,1,0,1,0,0,1
67199,0.079528412,15,549,0,9,10,69,0,0,0,0,0,1,0,0,1,0,1,0
35766,0.06727357,13,782,0,24,14,106,0,0,1,1,0,1,0,0,0,0,0,1
74530,0.088596917,46,471,0,23,1,71,0,0,1,1,0,0,1,0,1,0,0,1
94557,0.053212003,55,316,0,14,8,172,0,1,0,1,0,0,0,0,1,0,0,1
62087,0.074605555,14,593,0,20,10,89,0,1,0,1,0,0,0,0,1,0,1,0
96839,0.08451661,15,693,0,11,12,87,0,0,0,0,0,0,0,1,0,0,1,0
69840,0.082757518,49,797,1,12,5,62,0,0,1,1,0,1,0,1,0,0,1,0
55384,0.120395505,23,518,1,17,6,31,0,1,0,0,1,0,0,0,0,0,0,1
52005,0.085247,30,533,1,20,1,88,0,1,0,0,1,0,0,1,0,0,0,0
47576,0.064939181,21,689,1,9,10,141,1,0,0,1,0,0,1,0,0,0,1,0
40353,0.078568036,12,547,0,23,0,54,0,1,0,0,0,1,0,0,0,0,0,0
63003,0.053356305,28,351,1,26,7,162,0,0,0,0,1,0,0,0,1,0,1,0
84211,0.078791004,27,314,1,0,13,91,0,0,1,1,0,0,1,0,0,1,0,0
53733,0.067504159,20,623,0,25,9,133,0,1,0,1,0,1,0,0,0,1,0,0
66318,0.093730854,20,740,0,3,14,107,1,0,0,0,0,0,1,0,0,1,0,0
90474,0.071756896,20,411,0,16,3,134,0,1,0,1,0,0,0,0,0,0,0,0
24664,0.078248511,23,306,0,20,12,120,0,1,0,0,0,1,0,0,1,0,1,0
68172,0.070466632,52,544,1,12,8,153,0,0,1,0,1,1,0,0,1,0,0,1
86616,0.10608277,26,747,1,1,11,127,1,0,0,1,0,0,0,0,0,0,0,0
94264,0.075181359,13,664,0,14,8,167,0,0,0,0,0,0,1,1,0,0,1,0
27736,0.107488356,22,666,0,11,12,144,0,0,0,1,0,1,0,1,0,1,0,0
95209,0.092212276,22,586,0,1,10,179,0,0,1,1,0,1,0,0,0,0,0,0
1854,0.087231001,19,405,0,6,11,115,0,0,0,0,1,1,0,0,1,0,1,0
91084,0.085530997,43,312,1,3,3,57,0,0,0,1,0,0,0,0,0,0,0,1
39623,0.085906959,17,445,0,13,9,77,0,1,0,0,0,0,1,0,0,0,0,0
8392,0.051084911,31,777,0,17,2,113,0,0,0,0,0,0,0,0,1,0,0,1
56680,0.075816749,50,414,0,10,4,92,1,0,0,0,0,1,0,1,0,0,0,0
47717,0.09267737,46,808,0,2,5,31,0,1,0,1,0,0,1,0,0,1,0,0
88092,0.079266542,19,451,0,2,9,52,0,0,0,1,0,0,1,0,1,1,0,0
51859,0.058922152,54,356,0,17,3,80,1,0,0,0,1,0,0,0,1,1,0,0
27309,0.079213933,45,681,0,22,0,141,0,1,0,1,0,0,0,0,0,0,0,1
88455,0.105561583,30,456,0,0,6,109,1,0,0,0,0,1,0,0,1,1,0,0
64734,0.098703376,18,432,0,12,14,145,0,0,1,0,0,0,0,0,0,0,0,1
71467,0.07906994,42,462,0,24,4,30,0,0,1,0,1,0,0,1,0,0,0,1
53662,0.094271739,29,574,0,4,1,172,0,0,0,0,0,0,0,0,0,0,0,1
99506,0.074502395,51,376,0,3,13,44,1,0,0,0,0,0,0,1,0,1,0,0
13688,0.054441926,25,343,0,2,10,72,0,1,0,0,0,0,0,0,1,0,1,0
26342,0.06613301,50,849,1,18,13,162,1,0,0,0,1,1,0,0,0,0,0,1
38157,0.103443332,47,617,0,12,8,132,1,0,0,0,1,0,1,0,1,0,1,0
68863,0.075890104,28,833,0,15,7,154,0,0,1,0,0,0,0,0,0,0,0,1
53083,0.07634924,48,453,0,18,9,67,0,0,1,0,0,0,1,0,1,1,0,0
66733,0.075502427,55,536,0,0,6,92,0,0,0,1,0,0,1,1,0,1,0,0
90045,0.108562049,20,816,1,17,14,80,1,0,0,1,0,0,0,0,0,1,0,0
35698,0.104389384,31,520,1,26,12,107,1,0,0,0,0,0,0,0,1,0,0,0
81623,0.113281704,56,609,0,29,14,112,0,1,0,1,0,0,1,0,0,1,0,0
23671,0.077614322,39,476,0,6,8,126,0,1,0,0,0,1,0,0,0,0,1,0
26184,0.084434367,31,519,0,2,9,169,0,0,1,0,0,0,1,1,0,0,0,1
94384,0.057250362,52,337,1,21,1,122,1,0,0,1,0,1,0,0,1,0,1,0
43107,0.102154016,47,730,0,19,13,169,0,0,0,0,1,0,1,0,0,0,0,0
87202,0.062483307,38,502,0,9,12,58,0,0,1,0,1,0,0,0,0,0,1,0
52663,0.083251633,19,747,0,20,2,134,1,0,0,0,1,1,0,0,0,0,0,1
16708,0.063540462,43,794,0,7,8,90,0,0,1,0,0,0,1,0,0,0,0,1
92906,0.071166998,12,424,0,1,5,70,0,0,0,0,0,1,0,0,0,1,0,0
50811,0.067441064,28,364,1,9,1,177,1,0,0,0,1,0,0,0,1,0,0,0
3811,0.070881871,20,543,1,20,5,75,0,0,0,0,1,1,0,0,0,0,0,0
57250,0.071913159,31,826,0,17,13,68,1,0,0,0,1,0,0,0,0,0,1,0
73082,0.071775968,56,525,0,11,13,69,1,0,0,0,0,0,0,0,0,1,0,0
35754,0.092500009,43,764,0,13,4,31,0,0,0,0,0,1,0,0,1,1,0,0
96742,0.063427058,13,592,0,24,9,80,0,1,0,1,0,0,0,0,0,1,0,0
12411,0.083308121,43,680,0,1,4,149,0,0,0,1,0,0,0,0,0,0,0,1
3911,0.098269387,56,465,0,16,4,37,0,0,0,1,0,0,0,1,0,0,0,0
68270,0.072302055,20,517,1,19,1,60,0,0,1,0,1,1,0,1,0,0,1,0
84763,0.069231217,41,574,0,11,13,68,0,0,0,0,0,0,0,0,0,0,1,0
9680,0.076542131,31,351,1,6,5,112,0,0,0,1,0,0,1,0,0,0,1,0
85896,0.097695878,49,673,0,14,12,173,0,0,1,1,0,0,0,1,0,1,0,0
84879,0.082911614,12,662,0,1,6,52,0,1,0,1,0,0,1,0,1,0,0,0
72295,0.072031786,16,313,0,26,8,168,0,0,0,1,0,1,0,0,1,0,0,0
89614,0.08725815,46,639,1,25,13,150,0,0,1,0,1,0,1,1,0,0,0,1
12111,0.063465618,47,838,1,24,4,98,0,1,0,0,0,0,0,0,0,0,0,1
38504,0.090220393,12,388,0,11,10,41,0,1,0,0,0,0,0,1,0,0,0,1
2802,0.08612911,25,340,0,16,14,65,0,0,0,0,0,0,0,0,1,0,1,0
9155,0.075382873,20,603,0,0,10,86,0,1,0,1,0,0,0,1,0,0,1,0
74656,0.067421213,41,567,0,7,4,121,0,0,0,0,1,0,0,0,1,0,0,0
40384,0.066699786,35,437,1,4,14,119,0,1,0,0,1,0,0,0,0,0,0,1
48254,0.08802226,15,305,0,27,14,33,0,1,0,0,1,1,0,0,0,0,1,0
22918,0.098434708,25,541,1,27,8,173,0,1,0,0,0,0,0,0,0,0,0,1
86981,0.070440384,36,461,1,24,5,51,0,0,0,0,0,0,1,0,1,0,0,1
61713,0.086875801,15,817,0,7,6,136,0,1,0,0,1,0,1,1,0,0,0,0
31306,0.048694595,36,700,0,21,3,99,1,0,0,1,0,0,1,0,0,0,0,0
17646,0.071230734,21,455,0,19,3,168,0,0,1,0,0,1,0,0,1,0,1,0
47843,0.079534116,46,384,0,13,0,114,0,0,1,0,0,0,1,0,0,0,0,0
97601,0.066354749,18,309,0,5,10,68,1,0,0,1,0,0,1,1,0,0,0,1
91735,0.065952404,53,437,1,17,4,179,0,1,0,1,0,0,1,0,0,0,0,0
17371,0.069983307,24,455,0,4,1,59,1,0,0,0,0,1,0,0,1,0,0,1
78371,0.084382891,15,707,0,9,4,133,0,0,0,1,0,0,1,0,1,0,0,1
3049,0.077190065,54,524,0,14,4,82,0,0,1,1,0,0,1,0,0,0,1,0
32616,0.046426532,47,483,0,2,3,163,0,1,0,1,0,1,0,0,0,0,1,0
21932,0.048189498,25,494,0,2,14,83,0,0,1,1,0,0,0,0,1,0,1,0
30855,0.070897022,29,695,0,29,12,161,1,0,0,1,0,0,1,0,0,0,0,1
62434,0.086865299,19,433,0,16,11,108,1,0,0,0,1,0,0,0,0,0,0,0
73694,0.038787427,43,608,0,13,9,65,0,0,1,0,0,0,1,0,0,0,1,0
44016,0.072504047,38,841,1,26,12,92,0,0,1,0,1,1,0,1,0,0,1,0
8400,0.072106282,53,308,0,23,8,160,0,0,1,0,1,0,0,1,0,0,0,0
43642,0.100825067,48,469,1,9,4,86,0,0,1,0,1,1,0,1,0,0,0,0
16151,0.074224673,34,589,0,18,5,109,1,0,0,0,0,0,0,0,0,0,1,0
52407,0.085744835,18,467,0,15,13,45,0,1,0,0,0,1,0,0,1,0,0,1
67690,0.082118857,23,643,1,16,0,149,0,0,1,0,0,0,0,0,0,0,0,1
5499,0.048041503,36,796,0,19,11,163,0,1,0,0,1,0,0,0,0,0,1,0
7295,0.091523108,14,444,0,12,4,178,0,0,1,0,0,0,0,1,0,0,0,0
60040,0.083230948,37,712,1,0,11,38,0,0,0,0,1,0,1,0,1,0,0,1
13183,0.08762403,15,756,0,0,8,57,0,1,0,1,0,0,0,1,0,0,0,0
30299,0.138893566,53,601,0,16,11,74,0,0,0,0,0,0,0,0,1,1,0,0
13874,0.048738306,47,345,1,17,10,87,1,0,0,1,0,0,1,0,0,0,0,0
33711,0.10587045,26,316,0,27,5,58,0,0,0,0,1,0,1,0,0,0,0,0
6539,0.075688287,43,659,1,16,8,124,1,0,0,0,0,1,0,0,0,1,0,0
54351,0.084309934,40,560,1,11,11,150,0,0,1,0,0,1,0,0,1,0,0,1
62267,0.079317316,21,422,0,5,12,86,1,0,0,1,0,0,1,1,0,0,0,1
49354,0.073636455,32,530,0,6,3,62,0,0,1,0,1,0,1,1,0,0,0,1
3557,0.071452506,27,411,0,16,1,137,0,0,1,0,1,0,1,1,0,0,1,0
39360,0.084942631,58,545,1,25,14,161,0,0,1,0,0,0,1,0,1,1,0,0
